site,date,start_hour,peak_wind_speed
2410,2017-08-13,4,6.0
2410,2017-08-13,5,7.9
2410,2017-08-13,6,7.9
2410,2017-08-13,7,8.2
2410,2017-08-13,8,7.5
2410,2017-08-13,9,7.9
2410,2017-08-13,10,8.2
2410,2017-08-13,11,7.5
2410,2017-08-13,12,8.7
2410,2017-08-13,13,9.6
2410,2017-08-13,14,9.2
2410,2017-08-13,15,8.8
2410,2017-08-13,16,9.2
2410,2017-08-13,17,9.4
2410,2017-08-13,18,8.5
2410,2017-08-13,19,8.8
2410,2017-08-13,20,8.2
2410,2017-08-13,21,7.3
2410,2017-08-13,22,7.5
2410,2017-08-13,23,7.6
2410,2017-08-14,0,6.1
2410,2017-08-14,1,7.6
2410,2017-08-14,2,7.7
2410,2017-08-14,3,6.9
2410,2017-08-14,4,8.5
2410,2017-08-14,5,8.3
2410,2017-08-14,6,6.8
2410,2017-08-14,7,7.5
2410,2017-08-14,8,8.9
2410,2017-08-14,9,11.0
2410,2017-08-14,10,10.6
2410,2017-08-14,11,9.9
2410,2017-08-14,12,9.5
2410,2017-08-14,13,10.6
2410,2017-08-14,14,10.3
2410,2017-08-14,15,10.4
2410,2017-08-14,16,10.2
2410,2017-08-14,17,9.6
2410,2017-08-14,18,9.0
2410,2017-08-14,19,8.8
2410,2017-08-14,20,9.3
2410,2017-08-14,21,9.7
2410,2017-08-14,22,10.2
2410,2017-08-14,23,5.9
2410,2017-08-15,0,5.8
2410,2017-08-15,1,6.4
2410,2017-08-15,2,7.7
2410,2017-08-15,3,6.8
2410,2017-08-15,4,4.7
2410,2017-08-15,5,3.6
2410,2017-08-15,6,3.5
2410,2017-08-15,7,6.4
2410,2017-08-15,8,7.9
2410,2017-08-15,9,7.7
2410,2017-08-15,10,8.3
2410,2017-08-15,11,8.3
2410,2017-08-15,12,8.9
2410,2017-08-15,13,10.6
2410,2017-08-15,14,11.3
2410,2017-08-15,15,10.8
2410,2017-08-15,16,11.1
2410,2017-08-15,17,10.5
2410,2017-08-15,18,10.0
2410,2017-08-15,19,9.1
2410,2017-08-15,20,9.4
2410,2017-08-15,21,8.2
2410,2017-08-15,22,7.7
2410,2017-08-15,23,7.5
2410,2017-08-16,0,6.2
2410,2017-08-16,1,6.5
2410,2017-08-16,2,6.0
2410,2017-08-16,3,3.7
2410,2017-08-16,4,3.7
2410,2017-08-16,5,3.9
2410,2017-08-16,6,3.6
2410,2017-08-16,7,5.7
2410,2017-08-16,8,6.8
2410,2017-08-16,9,6.5
2410,2017-08-16,10,7.7
2410,2017-08-16,11,8.5
2410,2017-08-16,12,9.5
2410,2017-08-16,13,7.8
2410,2017-08-16,14,8.8
2410,2017-08-16,15,9.6
2410,2017-08-16,16,9.8
2410,2017-08-16,17,9.3
2410,2017-08-16,18,9.2
2410,2017-08-16,19,7.6
2410,2017-08-16,20,7.7
2410,2017-08-16,21,6.8
2410,2017-08-16,22,7.3
2410,2017-08-16,23,6.6
2410,2017-08-17,0,6.3
2410,2017-08-17,1,4.2
2410,2017-08-17,2,4.7
2410,2017-08-17,3,4.7
2410,2017-08-17,4,4.4
2410,2017-08-17,5,4.0
2410,2017-08-17,6,3.6
2410,2017-08-17,7,5.1
2410,2017-08-17,8,5.6
2410,2017-08-17,9,6.6
2410,2017-08-17,10,7.0
2410,2017-08-17,11,7.3
2410,2017-08-17,12,7.4
2410,2017-08-17,13,7.2
2410,2017-08-17,14,7.8
2410,2017-08-17,15,8.7
2410,2017-08-17,16,8.7
2410,2017-08-17,17,8.3
2410,2017-08-17,18,9.6
2410,2017-08-17,19,6.4
2410,2017-08-17,20,6.1
